episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
-187.6999999999997,-1134.7000000000005,-661.2,99.0,2,2,200,0,200,False,2,1,4728c_00000,1b5472944fb64f21bdeb6da3b96d1adf,2022-05-09_13-12-31,1652098351,0.534520149230957,0.534520149230957,77648,dyn3135-164.wlan.ic.ac.uk,127.0.0.1,0.534520149230957,0,1,"[-187.6999999999997, -1134.7000000000005]","[99, 99]",0.2561512559947401,0.7101049517640974,0.03602717182423809,3.1992598335341653,0.0,546.836,365.74,0.45,444311.864,18.728,10679.187,0.99,200,200,200,200,47.6,95.8,0.0,22421.428,0.0005,0.01,1012.5184936523438,-68385.7890625,917471.4375
-143.49999999999983,-1134.7000000000005,-675.8464285714291,99.0,54,2,5600,0,5600,False,56,2,4728c_00000,1b5472944fb64f21bdeb6da3b96d1adf,2022-05-09_13-12-42,1652098362,10.079840898513794,10.614361047744751,77648,dyn3135-164.wlan.ic.ac.uk,127.0.0.1,10.614361047744751,0,2,"[-187.6999999999997, -1134.7000000000005, -803.1000000000006, -1120.7000000000005, -1051.2000000000012, -885.7000000000013, -1080.700000000001, -377.70000000000124, -1134.6000000000004, -533.7, -883.7000000000014, -861.7000000000014, -1002.1000000000001, -1072.700000000001, -214.29999999999984, -927.4000000000002, -765.7000000000007, -1039.6000000000013, -503.7000000000002, -290.7, -228.69999999999962, -464.7000000000014, -402.70000000000095, -1020.7000000000014, -895.1999999999999, -225.29999999999998, -202.59999999999965, -256.7, -905.7000000000014, -1051.700000000001, -185.89999999999984, -772.5999999999999, -312.70000000000033, -145.6999999999998, -1124.6999999999998, -1063.600000000001, -756.7000000000014, -895.7000000000014, -1006.7000000000003, -1124.3, -263.69999999999965, -718.7000000000014, -573.7000000000014, -852.6000000000001, -177.69999999999982, -798.7000000000014, -520.7000000000014, -1118.4, -1029.7000000000014, -1093.300000000001, -143.49999999999983, -567.2000000000008, -344.60000000000093, -231.59999999999965, -220.59999999999968, -278.6999999999998]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.3237944818633289,0.701353650236476,0.03327156551552292,2.326773961375299,0.0,367.895,543.633,0.378,529182.942,12.986,15401.38,1.17,5600,5600,5600,5600,53.9,95.70714285714288,0.0,80464.24,0.0005,0.01,979.0979614257812,-54078.6171875,653829.9375
-107.69999999999986,-1124.6999999999998,-435.2770000000002,99.0,54,2,11000,0,11000,False,110,3,4728c_00000,1b5472944fb64f21bdeb6da3b96d1adf,2022-05-09_13-12-52,1652098372,10.059669971466064,20.674031019210815,77648,dyn3135-164.wlan.ic.ac.uk,127.0.0.1,20.674031019210815,0,3,"[-883.7000000000014, -861.7000000000014, -1002.1000000000001, -1072.700000000001, -214.29999999999984, -927.4000000000002, -765.7000000000007, -1039.6000000000013, -503.7000000000002, -290.7, -228.69999999999962, -464.7000000000014, -402.70000000000095, -1020.7000000000014, -895.1999999999999, -225.29999999999998, -202.59999999999965, -256.7, -905.7000000000014, -1051.700000000001, -185.89999999999984, -772.5999999999999, -312.70000000000033, -145.6999999999998, -1124.6999999999998, -1063.600000000001, -756.7000000000014, -895.7000000000014, -1006.7000000000003, -1124.3, -263.69999999999965, -718.7000000000014, -573.7000000000014, -852.6000000000001, -177.69999999999982, -798.7000000000014, -520.7000000000014, -1118.4, -1029.7000000000014, -1093.300000000001, -143.49999999999983, -567.2000000000008, -344.60000000000093, -231.59999999999965, -220.59999999999968, -278.6999999999998, -261.6999999999997, -203.3, -185.6999999999997, -230.69999999999962, -218.59999999999968, -260.6999999999997, -213.3, -275.6999999999998, -338.6999999999999, -279.6999999999998, -267.3, -212.59999999999962, -363.3000000000002, -279.6999999999998, -259.6999999999997, -279.6999999999998, -212.9, -197.89999999999995, -276.6999999999998, -312.7000000000003, -269.5, -192.59999999999968, -265.69999999999976, -159.69999999999985, -269.59999999999974, -206.69999999999965, -268.6, -360.7000000000008, -220.69999999999962, -215.69999999999968, -462.7000000000014, -475.7000000000014, -284.9999999999998, -107.69999999999986, -362.7000000000008, -159.3999999999998, -223.59999999999962, -231.19999999999993, -289.69999999999993, -269.69999999999976, -459.8000000000009, -365.2000000000002, -208.99999999999972, -228.69999999999962, -185.89999999999998, -261.69999999999976, -386.2, -217.20000000000002, -245.69999999999962, -227.7, -202.5999999999997, -184.5999999999997, -210.59999999999997, -177.69999999999965]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.3285689085558859,0.6951797755508331,0.03282338342166884,2.286730859356668,0.0,373.67,535.231,0.314,637819.951,16.542,12090.554,1.429,11000,11000,11000,11000,54.035714285714285,95.72142857142858,0.0,32934.56,0.0005,0.01,898.5223388671875,-17178.0390625,62762.578125
-107.69999999999986,-548.6000000000014,-265.57599999999996,99.0,54,2,16400,0,16400,False,164,4,4728c_00000,1b5472944fb64f21bdeb6da3b96d1adf,2022-05-09_13-13-02,1652098382,10.214494943618774,30.88852596282959,77648,dyn3135-164.wlan.ic.ac.uk,127.0.0.1,30.88852596282959,0,4,"[-338.6999999999999, -279.6999999999998, -267.3, -212.59999999999962, -363.3000000000002, -279.6999999999998, -259.6999999999997, -279.6999999999998, -212.9, -197.89999999999995, -276.6999999999998, -312.7000000000003, -269.5, -192.59999999999968, -265.69999999999976, -159.69999999999985, -269.59999999999974, -206.69999999999965, -268.6, -360.7000000000008, -220.69999999999962, -215.69999999999968, -462.7000000000014, -475.7000000000014, -284.9999999999998, -107.69999999999986, -362.7000000000008, -159.3999999999998, -223.59999999999962, -231.19999999999993, -289.69999999999993, -269.69999999999976, -459.8000000000009, -365.2000000000002, -208.99999999999972, -228.69999999999962, -185.89999999999998, -261.69999999999976, -386.2, -217.20000000000002, -245.69999999999962, -227.7, -202.5999999999997, -184.5999999999997, -210.59999999999997, -177.69999999999965, -238.59999999999968, -215.59999999999962, -214.59999999999968, -251.69999999999962, -391.7000000000008, -255.69999999999962, -476.7000000000014, -209.2999999999997, -201.60000000000002, -251.59999999999968, -256.39999999999975, -243.69999999999965, -228.59999999999965, -214.69999999999976, -249.69999999999965, -196.6999999999997, -211.69999999999965, -170.69999999999968, -289.70000000000033, -224.1, -238.49999999999966, -153.6999999999997, -228.99999999999986, -183.6999999999997, -243.69999999999962, -168.59999999999974, -241.59999999999962, -270.69999999999976, -185.20000000000005, -458.7000000000014, -215.59999999999974, -205.69999999999965, -247.69999999999962, -310.70000000000005, -264.0, -428.7000000000013, -234.69999999999962, -285.49999999999994, -271.5999999999998, -266.5999999999998, -506.30000000000086, -229.59999999999965, -359.7000000000005, -205.69999999999962, -274.3999999999997, -177.6999999999997, -548.6000000000014, -443.3999999999999, -287.6999999999999, -272.69999999999976, -267.5999999999998, -281.5999999999998, -262.20000000000005, -202.69999999999968]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.32408438789005234,0.6914649911184031,0.03254964811364574,2.2874206534423815,0.0,375.138,533.137,0.29,689002.71,17.498,11429.883,1.364,16400,16400,16400,16400,54.778571428571425,95.72857142857143,0.0,25193.277,0.0005,0.01,813.4581298828125,-12647.77734375,38704.3359375
-116.40000000000003,-548.6000000000014,-241.87699999999984,99.0,56,2,21800,0,21800,False,220,5,4728c_00000,1b5472944fb64f21bdeb6da3b96d1adf,2022-05-09_13-13-12,1652098392,10.29343581199646,41.18196177482605,77648,dyn3135-164.wlan.ic.ac.uk,127.0.0.1,41.18196177482605,0,5,"[-256.39999999999975, -243.69999999999965, -228.59999999999965, -214.69999999999976, -249.69999999999965, -196.6999999999997, -211.69999999999965, -170.69999999999968, -289.70000000000033, -224.1, -238.49999999999966, -153.6999999999997, -228.99999999999986, -183.6999999999997, -243.69999999999962, -168.59999999999974, -241.59999999999962, -270.69999999999976, -185.20000000000005, -458.7000000000014, -215.59999999999974, -205.69999999999965, -247.69999999999962, -310.70000000000005, -264.0, -428.7000000000013, -234.69999999999962, -285.49999999999994, -271.5999999999998, -266.5999999999998, -506.30000000000086, -229.59999999999965, -359.7000000000005, -205.69999999999962, -274.3999999999997, -177.6999999999997, -548.6000000000014, -443.3999999999999, -287.6999999999999, -272.69999999999976, -267.5999999999998, -281.5999999999998, -262.20000000000005, -202.69999999999968, -202.69999999999962, -158.69999999999968, -253.69999999999965, -263.39999999999975, -260.6999999999997, -237.69999999999962, -178.69999999999965, -268.69999999999976, -202.69999999999962, -267.6999999999997, -193.69999999999962, -214.69999999999962, -264.69999999999976, -195.7999999999997, -176.6999999999997, -266.6999999999997, -266.69999999999976, -198.19999999999985, -265.6999999999997, -264.6999999999997, -263.6999999999997, -226.69999999999965, -243.0999999999998, -267.69999999999976, -116.40000000000003, -181.6999999999997, -234.69999999999962, -211.59999999999968, -147.6999999999998, -263.6999999999997, -183.69999999999965, -179.69999999999962, -199.09999999999968, -200.49999999999994, -243.5, -265.3999999999999, -257.69999999999965, -262.6999999999997, -203.69999999999965, -263.6999999999997, -228.69999999999962, -184.69999999999968, -267.59999999999974, -244.69999999999965, -182.69999999999968, -181.69999999999968, -180.69999999999965, -182.59999999999965, -191.59999999999965, -237.5999999999997, -266.69999999999976, -259.6999999999997, -256.5999999999997, -258.69999999999965, -174.69999999999962, -159.59999999999977]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.3227732061991915,0.6907043504947361,0.03248702714720736,2.2933695524443696,0.0,375.403,532.76,0.4,499887.253,12.98,15408.764,1.042,21800,21800,21800,21800,52.40714285714286,95.71428571428574,0.0,24828.55,0.0005,0.01,778.0875244140625,-12354.2900390625,38399.57421875
-116.40000000000003,-281.5999999999998,-222.48299999999975,99.0,40,2,25800,0,25800,False,260,6,4728c_00000,1b5472944fb64f21bdeb6da3b96d1adf,2022-05-09_13-13-22,1652098402,10.062636137008667,51.24459791183472,77648,dyn3135-164.wlan.ic.ac.uk,127.0.0.1,51.24459791183472,0,6,"[-267.5999999999998, -281.5999999999998, -262.20000000000005, -202.69999999999968, -202.69999999999962, -158.69999999999968, -253.69999999999965, -263.39999999999975, -260.6999999999997, -237.69999999999962, -178.69999999999965, -268.69999999999976, -202.69999999999962, -267.6999999999997, -193.69999999999962, -214.69999999999962, -264.69999999999976, -195.7999999999997, -176.6999999999997, -266.6999999999997, -266.69999999999976, -198.19999999999985, -265.6999999999997, -264.6999999999997, -263.6999999999997, -226.69999999999965, -243.0999999999998, -267.69999999999976, -116.40000000000003, -181.6999999999997, -234.69999999999962, -211.59999999999968, -147.6999999999998, -263.6999999999997, -183.69999999999965, -179.69999999999962, -199.09999999999968, -200.49999999999994, -243.5, -265.3999999999999, -257.69999999999965, -262.6999999999997, -203.69999999999965, -263.6999999999997, -228.69999999999962, -184.69999999999968, -267.59999999999974, -244.69999999999965, -182.69999999999968, -181.69999999999968, -180.69999999999965, -182.59999999999965, -191.59999999999965, -237.5999999999997, -266.69999999999976, -259.6999999999997, -256.5999999999997, -258.69999999999965, -174.69999999999962, -159.59999999999977, -217.69999999999965, -248.69999999999965, -256.5999999999997, -194.69999999999965, -258.69999999999965, -259.5999999999997, -228.69999999999965, -176.69999999999965, -200.6999999999997, -266.6999999999997, -259.6999999999997, -162.69999999999968, -258.6999999999997, -171.8, -267.69999999999976, -176.6999999999997, -187.4999999999999, -205.69999999999962, -214.59999999999962, -164.3, -145.8, -263.69999999999976, -265.69999999999976, -192.69999999999965, -268.69999999999976, -256.69999999999965, -244.9999999999997, -198.69999999999965, -244.69999999999962, -242.69999999999965, -186.6999999999997, -191.1, -176.69999999999965, -277.6999999999998, -237.29999999999998, -183.6999999999997, -178.6999999999997, -183.69999999999968, -224.69999999999962, -213.69999999999956]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.33265957097692933,0.7047549958704868,0.033017275750887885,2.327597614909178,0.0,621.836,321.628,0.415,482076.203,19.946,10027.167,1.901,25800,25800,25800,25800,59.328571428571436,95.7642857142857,0.0,22319.836,0.0005,0.01,757.2526245117188,-10281.0224609375,34799.43359375
-142.69999999999973,-396.7000000000009,-219.96399999999977,99.0,36,2,29400,0,29400,False,296,7,4728c_00000,1b5472944fb64f21bdeb6da3b96d1adf,2022-05-09_13-13-32,1652098412,9.972920179367065,61.21751809120178,77648,dyn3135-164.wlan.ic.ac.uk,127.0.0.1,61.21751809120178,0,7,"[-199.09999999999968, -200.49999999999994, -243.5, -265.3999999999999, -257.69999999999965, -262.6999999999997, -203.69999999999965, -263.6999999999997, -228.69999999999962, -184.69999999999968, -267.59999999999974, -244.69999999999965, -182.69999999999968, -181.69999999999968, -180.69999999999965, -182.59999999999965, -191.59999999999965, -237.5999999999997, -266.69999999999976, -259.6999999999997, -256.5999999999997, -258.69999999999965, -174.69999999999962, -159.59999999999977, -217.69999999999965, -248.69999999999965, -256.5999999999997, -194.69999999999965, -258.69999999999965, -259.5999999999997, -228.69999999999965, -176.69999999999965, -200.6999999999997, -266.6999999999997, -259.6999999999997, -162.69999999999968, -258.6999999999997, -171.8, -267.69999999999976, -176.6999999999997, -187.4999999999999, -205.69999999999962, -214.59999999999962, -164.3, -145.8, -263.69999999999976, -265.69999999999976, -192.69999999999965, -268.69999999999976, -256.69999999999965, -244.9999999999997, -198.69999999999965, -244.69999999999962, -242.69999999999965, -186.6999999999997, -191.1, -176.69999999999965, -277.6999999999998, -237.29999999999998, -183.6999999999997, -178.6999999999997, -183.69999999999968, -224.69999999999962, -213.69999999999956, -257.5999999999997, -268.69999999999976, -199.59999999999965, -178.69999999999968, -206.69999999999965, -161.59999999999968, -235.69999999999965, -237.69999999999953, -282.69999999999993, -213.59999999999962, -274.6999999999998, -337.7000000000005, -264.6999999999997, -212.0, -225.69999999999968, -221.69999999999965, -257.5999999999997, -142.69999999999973, -169.2, -168.6999999999997, -184.69999999999965, -165.59999999999965, -191.69999999999968, -188.59999999999962, -198.69999999999968, -155.69999999999973, -175.69999999999973, -192.69999999999968, -396.7000000000009, -304.70000000000005, -181.4999999999997, -269.59999999999974, -147.39999999999992, -181.39999999999992, -191.29999999999984, -241.59999999999962]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.34709662397194535,0.7329213949215324,0.0342095766965503,2.399067259303243,0.0,541.895,369.075,0.392,510473.316,14.522,13771.752,1.192,29400,29400,29400,29400,70.92857142857143,95.70714285714284,0.0,47873.51,0.0005,0.01,744.5696411132812,-22741.23046875,242810.578125
-142.69999999999973,-444.9000000000013,-220.19399999999985,99.0,34,2,32800,0,32800,False,330,8,4728c_00000,1b5472944fb64f21bdeb6da3b96d1adf,2022-05-09_13-13-43,1652098423,10.991048812866211,72.208566904068,77648,dyn3135-164.wlan.ic.ac.uk,127.0.0.1,72.208566904068,0,8,"[-259.6999999999997, -162.69999999999968, -258.6999999999997, -171.8, -267.69999999999976, -176.6999999999997, -187.4999999999999, -205.69999999999962, -214.59999999999962, -164.3, -145.8, -263.69999999999976, -265.69999999999976, -192.69999999999965, -268.69999999999976, -256.69999999999965, -244.9999999999997, -198.69999999999965, -244.69999999999962, -242.69999999999965, -186.6999999999997, -191.1, -176.69999999999965, -277.6999999999998, -237.29999999999998, -183.6999999999997, -178.6999999999997, -183.69999999999968, -224.69999999999962, -213.69999999999956, -257.5999999999997, -268.69999999999976, -199.59999999999965, -178.69999999999968, -206.69999999999965, -161.59999999999968, -235.69999999999965, -237.69999999999953, -282.69999999999993, -213.59999999999962, -274.6999999999998, -337.7000000000005, -264.6999999999997, -212.0, -225.69999999999968, -221.69999999999965, -257.5999999999997, -142.69999999999973, -169.2, -168.6999999999997, -184.69999999999965, -165.59999999999965, -191.69999999999968, -188.59999999999962, -198.69999999999968, -155.69999999999973, -175.69999999999973, -192.69999999999968, -396.7000000000009, -304.70000000000005, -181.4999999999997, -269.59999999999974, -147.39999999999992, -181.39999999999992, -191.29999999999984, -241.59999999999962, -444.9000000000013, -195.59999999999965, -180.69999999999965, -264.5, -218.69999999999962, -203.69999999999968, -179.6999999999997, -182.6999999999997, -181.09999999999982, -209.69999999999968, -196.59999999999965, -180.6999999999997, -255.6999999999996, -209.59999999999968, -182.6999999999997, -164.00000000000003, -258.69999999999965, -282.6999999999999, -166.69999999999965, -245.3, -201.69999999999962, -174.6999999999997, -410.7000000000013, -238.9, -234.6999999999997, -209.69999999999965, -185.69999999999968, -205.69999999999965, -255.69999999999965, -265.59999999999974, -184.6999999999997, -171.6999999999997, -276.69999999999976, -266.4999999999997]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.3653890991090739,0.7778368595416103,0.03609918539917149,2.4929696795561496,0.0,732.962,272.865,0.585,341889.795,21.149,9456.801,1.428,32800,32800,32800,32800,73.27142857142857,95.72857142857141,0.0,30094.58,0.0005,0.01,742.8482055664062,-13696.8896484375,57662.046875
-142.69999999999973,-444.9000000000013,-218.7389999999998,99.0,26,2,35400,0,35400,False,356,9,4728c_00000,1b5472944fb64f21bdeb6da3b96d1adf,2022-05-09_13-13-54,1652098434,10.348679304122925,82.55724620819092,77648,dyn3135-164.wlan.ic.ac.uk,127.0.0.1,82.55724620819092,0,9,"[-178.6999999999997, -183.69999999999968, -224.69999999999962, -213.69999999999956, -257.5999999999997, -268.69999999999976, -199.59999999999965, -178.69999999999968, -206.69999999999965, -161.59999999999968, -235.69999999999965, -237.69999999999953, -282.69999999999993, -213.59999999999962, -274.6999999999998, -337.7000000000005, -264.6999999999997, -212.0, -225.69999999999968, -221.69999999999965, -257.5999999999997, -142.69999999999973, -169.2, -168.6999999999997, -184.69999999999965, -165.59999999999965, -191.69999999999968, -188.59999999999962, -198.69999999999968, -155.69999999999973, -175.69999999999973, -192.69999999999968, -396.7000000000009, -304.70000000000005, -181.4999999999997, -269.59999999999974, -147.39999999999992, -181.39999999999992, -191.29999999999984, -241.59999999999962, -444.9000000000013, -195.59999999999965, -180.69999999999965, -264.5, -218.69999999999962, -203.69999999999968, -179.6999999999997, -182.6999999999997, -181.09999999999982, -209.69999999999968, -196.59999999999965, -180.6999999999997, -255.6999999999996, -209.59999999999968, -182.6999999999997, -164.00000000000003, -258.69999999999965, -282.6999999999999, -166.69999999999965, -245.3, -201.69999999999962, -174.6999999999997, -410.7000000000013, -238.9, -234.6999999999997, -209.69999999999965, -185.69999999999968, -205.69999999999965, -255.69999999999965, -265.59999999999974, -184.6999999999997, -171.6999999999997, -276.69999999999976, -266.4999999999997, -269.59999999999974, -158.69999999999973, -197.59999999999968, -173.59999999999965, -248.69999999999962, -148.8, -191.8999999999997, -162.69999999999976, -170.5, -350.50000000000017, -199.69999999999965, -217.59999999999965, -185.69999999999968, -187.69999999999968, -246.69999999999962, -204.69999999999965, -363.70000000000095, -254.59999999999962, -190.69999999999968, -149.69999999999973, -195.69999999999968, -212.69999999999965, -162.69999999999996, -206.6999999999996, -252.59999999999965, -197.69999999999965]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.386119899872408,0.8196596833443763,0.03794417799655321,2.5783547042993478,0.0,645.799,309.694,0.525,381196.401,21.576,9269.508,1.975,35400,35400,35400,35400,87.97857142857144,95.74999999999999,0.0,28377.064,0.0005,0.01,749.1233520507812,-13440.0673828125,43989.07421875
-137.6999999999998,-444.9000000000013,-216.10199999999983,99.0,38,2,39200,0,39200,False,394,10,4728c_00000,1b5472944fb64f21bdeb6da3b96d1adf,2022-05-09_13-14-04,1652098444,10.282066345214844,92.83931255340576,77648,dyn3135-164.wlan.ic.ac.uk,127.0.0.1,92.83931255340576,0,10,"[-191.29999999999984, -241.59999999999962, -444.9000000000013, -195.59999999999965, -180.69999999999965, -264.5, -218.69999999999962, -203.69999999999968, -179.6999999999997, -182.6999999999997, -181.09999999999982, -209.69999999999968, -196.59999999999965, -180.6999999999997, -255.6999999999996, -209.59999999999968, -182.6999999999997, -164.00000000000003, -258.69999999999965, -282.6999999999999, -166.69999999999965, -245.3, -201.69999999999962, -174.6999999999997, -410.7000000000013, -238.9, -234.6999999999997, -209.69999999999965, -185.69999999999968, -205.69999999999965, -255.69999999999965, -265.59999999999974, -184.6999999999997, -171.6999999999997, -276.69999999999976, -266.4999999999997, -269.59999999999974, -158.69999999999973, -197.59999999999968, -173.59999999999965, -248.69999999999962, -148.8, -191.8999999999997, -162.69999999999976, -170.5, -350.50000000000017, -199.69999999999965, -217.59999999999965, -185.69999999999968, -187.69999999999968, -246.69999999999962, -204.69999999999965, -363.70000000000095, -254.59999999999962, -190.69999999999968, -149.69999999999973, -195.69999999999968, -212.69999999999965, -162.69999999999996, -206.6999999999996, -252.59999999999965, -197.69999999999965, -219.69999999999982, -213.69999999999968, -148.69999999999968, -226.69999999999965, -268.69999999999976, -203.59999999999962, -224.69999999999962, -219.7, -227.69999999999968, -255.1999999999997, -137.6999999999998, -214.59999999999962, -231.69999999999962, -187.6999999999997, -162.6999999999997, -246.69999999999956, -204.69999999999962, -170.69999999999965, -159.69999999999965, -176.69999999999965, -193.59999999999965, -220.69999999999962, -222.49999999999983, -243.99999999999966, -187.6999999999997, -205.59999999999962, -199.69999999999965, -197.1, -195.69999999999965, -220.69999999999962, -260.6999999999997, -207.69999999999965, -199.69999999999965, -174.59999999999968, -260.6999999999997, -215.69999999999965, -212.69999999999968, -268.69999999999976]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.4103338358431674,0.8750915660427079,0.04042759286220878,2.6843362758701277,0.0,484.239,413.019,0.373,535568.41,15.688,12748.858,1.336,39200,39200,39200,39200,73.3,95.76428571428572,0.0,28372.197,0.0005,0.01,739.9996337890625,-12836.119140625,46488.47265625
